adb server is out of date.  killing...
03-21 23:37:17.705 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.705 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.705 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.705 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.706 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.707 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.707 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.707 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.707 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.707 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.708 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.708 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.708 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.709 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.709 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.709 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.709 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.710 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.710 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.710 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.710 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.710 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.711 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.711 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.711 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.712 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.712 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.712 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.712 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.713 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.713 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.713 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.713 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.713 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.714 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.715 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.715 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.715 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.715 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.715 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.716 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.716 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.716 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.717 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.717 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.717 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.717 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.718 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.718 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.718 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.718 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.718 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.719 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.720 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.720 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.720 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.720 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.720 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.721 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.721 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.721 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.722 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.722 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.722 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.722 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.723 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.723 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.723 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.723 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.723 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.724 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.724 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.724 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.725 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.725 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.725 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.725 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.726 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.726 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.726 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.726 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.726 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.727 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.728 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.728 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.728 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.728 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.728 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.729 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.729 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.729 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.730 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.730 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.730 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.730 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.731 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.731 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.731 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.732 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.732 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.732 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.733 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.733 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.733 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.733 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.733 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.734 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.735 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.735 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.735 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.735 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.735 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.736 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.736 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.736 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.737 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.737 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.737 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.737 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.738 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.738 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.738 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.738 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.738 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.739 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.739 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.740 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.740 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.740 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.740 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.740 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.741 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.741 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.741 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.742 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.742 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.742 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.743 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.743 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.743 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.743 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.743 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.744 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.744 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.744 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.745 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.745 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.745 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.745 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.746 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.746 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.746 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.746 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.746 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.747 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.747 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.748 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.748 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.748 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.748 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.749 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.749 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.749 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.749 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.750 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.750 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.750 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.751 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.751 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.751 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.751 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.751 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.752 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.752 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.752 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.753 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.753 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.753 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.753 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.754 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.754 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.754 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.754 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.754 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.755 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.755 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.756 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.756 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.756 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.756 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.757 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.757 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.757 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.758 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.758 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.758 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.758 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.759 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.759 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.759 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.759 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.759 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.760 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.760 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.761 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.761 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.761 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.761 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.761 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.762 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.762 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.762 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.762 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.762 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.763 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.764 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.764 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.764 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.764 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.764 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.765 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.765 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.765 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.766 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.766 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.766 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.766 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.767 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.767 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.767 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.767 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.767 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.768 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.769 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.769 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.769 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.769 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.769 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.770 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.770 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.770 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.771 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.771 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.771 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.771 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.772 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.772 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.772 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.772 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.772 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.773 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.773 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.773 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.774 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.774 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.774 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.774 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.775 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.775 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.775 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.775 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.775 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.776 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.777 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.777 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.777 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.777 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.777 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.778 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.778 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.778 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.779 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.779 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.779 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.779 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.780 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.780 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.780 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.780 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.780 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.781 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.781 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.781 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.782 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.782 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.782 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.782 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.783 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.783 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.783 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.783 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.783 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.784 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.785 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.785 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.785 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.785 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.785 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:17.786 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.786 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:17.786 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:17.787 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:17.787 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:17.787 22280  9225 I ContactsProvider: query return 5 finally 
